,LAI ,Plt ht 
22-Sep-14,,
23-Sep-14,,
24-Sep-14,,
25-Sep-14,,
26-Sep-14,,
27-Sep-14,,
28-Sep-14,2.513204167,1.16
29-Sep-14,,
30-Sep-14,,
01-Oct-14,,
02-Oct-14,,
03-Oct-14,,
04-Oct-14,,
05-Oct-14,,
06-Oct-14,,
07-Oct-14,,
08-Oct-14,,
09-Oct-14,,
10-Oct-14,,
11-Oct-14,,
12-Oct-14,,
13-Oct-14,,
14-Oct-14,,
15-Oct-14,,
16-Oct-14,,
17-Oct-14,,
18-Oct-14,,
19-Oct-14,,
20-Oct-14,,
21-Oct-14,,
22-Oct-14,,
23-Oct-14,,
24-Oct-14,,
25-Oct-14,,
26-Oct-14,,
27-Oct-14,,
28-Oct-14,,
29-Oct-14,,
30-Oct-14,,
31-Oct-14,,
01-Nov-14,,
02-Nov-14,,
03-Nov-14,,
04-Nov-14,,
05-Nov-14,,
06-Nov-14,,
07-Nov-14,,
08-Nov-14,,
09-Nov-14,,
10-Nov-14,,
11-Nov-14,,
12-Nov-14,,
13-Nov-14,,
14-Nov-14,,
15-Nov-14,,
16-Nov-14,,
17-Nov-14,,
18-Nov-14,,
19-Nov-14,,
20-Nov-14,,
21-Nov-14,,
22-Nov-14,,
23-Nov-14,,
24-Nov-14,,
25-Nov-14,,
26-Nov-14,,
27-Nov-14,,
28-Nov-14,,
29-Nov-14,,
30-Nov-14,,
01-Dec-14,,
02-Dec-14,,
03-Dec-14,,
04-Dec-14,,
05-Dec-14,,
06-Dec-14,,
07-Dec-14,,
08-Dec-14,,
09-Dec-14,,
10-Dec-14,,
11-Dec-14,,
12-Dec-14,,
13-Dec-14,,
14-Dec-14,,
15-Dec-14,,
16-Dec-14,,
17-Dec-14,,
18-Dec-14,,
19-Dec-14,,
20-Dec-14,,
21-Dec-14,,
22-Dec-14,,
23-Dec-14,,
24-Dec-14,,
25-Dec-14,,
26-Dec-14,,
27-Dec-14,,
28-Dec-14,,
29-Dec-14,,
30-Dec-14,,
31-Dec-14,,
