table,fieldName,description,dataType,units,downloadPkg
RHbuoy_1min,tempRHSpikeFailQM,"Temperature measures by RH sensor quality metric that summarizes the failed outcomes of the spike test over the averaging period, as a percent",real,percent,expanded
RHbuoy_1min,tempRHSpikePassQM,"Temperature measures by RH sensor quality metric that summarizes the passed outcomes of the spike test over the averaging period, as a percent",real,percent,expanded
RHbuoy_1min,tempRHSpikeNAQM,"Temperature measures by RH sensor quality metric that summarizes when the spike test could not be run over the averaging period, as a percent",real,percent,expanded
RHbuoy_1min,tempRHValidCalFailQM,"Temperature measures by RH sensor quality metric that summarizes the failed outcomes of the valid calibration check over the averaging period, as a percent",real,percent,expanded
RHbuoy_1min,tempRHValidCalPassQM,"Temperature measures by RH sensor quality metric that summarizes the passed outcomes of the valid calibration check over the averaging period, as a percent",real,percent,expanded
RHbuoy_1min,tempRHValidCalNAQM,"Temperature measures by RH sensor quality metric that summarizes when the valid calibration check could not be run over the averaging period, as a percent",real,percent,expanded
RHbuoy_1min,tempRHAlphaQM,"Temperature measures by RH sensor quality metric detailing the outcomes of the alpha quality flag over the averaging period, as a percent and detailed in NEON.DOC.001113",real,percent,expanded
RHbuoy_1min,tempRHBetaQM,"Temperature measures by RH sensor quality metric detailing the outcomes of the beta quality flag over the averaging period, as a percent and detailed in NEON.DOC.001113",real,percent,expanded
RHbuoy_1min,tempRHFinalQF,"Temperature measures by RH sensor quality flag indicating whether a data product has passed or failed an overall assessment of its quality, detailed in NEON.DOC.001113 (1=fail, 0=pass)",unsigned integer,NA,basic
RHbuoy_1min,tempRHFinalQFSciRvw,"Temperature measures by RH sensor quality flag indicating whether a data product has failed a science review of its quality, detailed in NEON.DOC.001113 (1=fail, 0=pass/not-reviewed)",unsigned integer,NA,expanded
RHbuoy_1min,dewTempMean,"Arithmetic mean of dew or frost point temperature",real,celsius,basic
RHbuoy_1min,dewTempMinimum,"Minimum dew or frost point temperature",real,celsius,basic
RHbuoy_1min,dewTempMaximum,"Maximum dew or frost point temperature",real,celsius,basic
RHbuoy_1min,dewTempVariance,"Variance in dew or frost point temperature",real,celsiusSquared,basic
RHbuoy_1min,dewTempNumPts,"Number of points used to calculate the arithmetic mean of dew or frost point temperature",real,number,basic
RHbuoy_1min,dewTempExpUncert,"Expanded uncertainty for dew or frost point temperature",real,celsius,basic
RHbuoy_1min,dewTempStdErMean,"Standard error of the mean for dew or frost point temperature",real,celsius,basic
RHbuoy_1min,dewTempRangeFailQM,"Dew or frost point temperature quality metric that summarizes the failed outcomes of the range test over the averaging period, as a percent",real,percent,expanded
RHbuoy_1min,dewTempRangePassQM,"Dew or frost point temperature quality metric that summarizes the passed outcomes of the range test over the averaging period, as a percent",real,percent,expanded
RHbuoy_1min,dewTempRangeNAQM,"Dew or frost point temperature quality metric that summarizes when the range test could not be run over the averaging period, as a percent",real,percent,expanded
RHbuoy_1min,dewTempPersistenceFailQM,"Dew or frost point temperature quality metric that summarizes  the failed outcomes of the persistence test over the averaging period, as a percent",real,percent,expanded
RHbuoy_1min,dewTempPersistencePassQM,"Dew or frost point temperature quality metric that summarizes the passed outcomes of the persistence test over the averaging period, as a percent",real,percent,expanded
RHbuoy_1min,dewTempPersistenceNAQM,"Dew or frost point temperature quality metric that summarizes when the persistence test could not be run over the averaging period, as a percent",real,percent,expanded
RHbuoy_1min,dewTempStepFailQM,"Dew or frost point temperature quality metric that summarizes the failed outcomes of the step test over the averaging period, as a percent",real,percent,expanded
RHbuoy_1min,dewTempStepPassQM,"Dew or frost point temperature quality metric that summarizes the passed outcomes of the step test over the averaging period, as a percent",real,percent,expanded
RHbuoy_1min,dewTempStepNAQM,"Dew or frost point temperature quality metric that summarizes when the step test could not be run over the averaging period, as a percent",real,percent,expanded
RHbuoy_1min,dewTempNullFailQM,"Dew or frost point temperature quality metric that summarizes the failed outcomes of the null test over the averaging period, as a percent",real,percent,expanded
RHbuoy_1min,dewTempNullPassQM,"Dew or frost point temperature quality metric that summarizes the passed outcomes of the null test over the averaging period, as a percent",real,percent,expanded
RHbuoy_1min,dewTempNullNAQM,"Dew or frost point temperature quality metric that summarizes when the null test could not be run over the averaging period, as a percent",real,percent,expanded
RHbuoy_1min,dewTempGapFailQM,"Dew or frost point temperature quality metric that summarizes the failed outcomes of the gap test over the averaging period, as a percent",real,percent,expanded
RHbuoy_1min,dewTempGapPassQM,"Dew or frost point temperature quality metric that summarizes the passed outcomes of the gap test over the averaging period, as a percent",real,percent,expanded
RHbuoy_1min,dewTempGapNAQM,"Dew or frost point temperature quality metric that summarizes when the gap test could not be run over the averaging period, as a percent",real,percent,expanded
RHbuoy_1min,dewTempSpikeFailQM,"Dew or frost point temperature quality metric that summarizes the failed outcomes of the spike test over the averaging period, as a percent",real,percent,expanded
RHbuoy_1min,dewTempSpikePassQM,"Dew or frost point temperature quality metric that summarizes the passed outcomes of the spike test over the averaging period, as a percent",real,percent,expanded
RHbuoy_1min,dewTempSpikeNAQM,"Dew or frost point temperature quality metric that summarizes when the spike test could not be run over the averaging period, as a percent",real,percent,expanded
RHbuoy_1min,dewTempValidCalFailQM,"Dew or frost point temperature quality metric that summarizes the failed outcomes of the valid calibration check over the averaging period, as a percent",real,percent,expanded
RHbuoy_1min,dewTempValidCalPassQM,"Dew or frost point temperature quality metric that summarizes the passed outcomes of the valid calibration check over the averaging period, as a percent",real,percent,expanded
RHbuoy_1min,dewTempValidCalNAQM,"Dew or frost point temperature quality metric that summarizes when the valid calibration check could not be run over the averaging period, as a percent",real,percent,expanded
RHbuoy_1min,dewTempAlphaQM,"Dew or frost point temperature quality metric detailing the outcomes of the alpha quality flag over the averaging period, as a percent and detailed in NEON.DOC.001113",real,percent,expanded
RHbuoy_1min,dewTempBetaQM,"Dew or frost point temperature quality metric detailing the outcomes of the beta quality flag over the averaging period, as a percent and detailed in NEON.DOC.001113",real,percent,expanded
RHbuoy_1min,dewTempFinalQF,"Dew or frost point temperature quality flag indicating whether a data product has passed or failed an overall assessment of its quality, detailed in NEON.DOC.001113 (1=fail, 0=pass)",unsigned integer,NA,basic
RHbuoy_1min,dewTempFinalQFSciRvw,"Dew or frost point temperature quality flag indicating whether a data product has failed a science review of its quality, detailed in NEON.DOC.001113 (1=fail, 0=pass/not-reviewed)",unsigned integer,NA,expanded
RHbuoy_1min,RHSensorErrorFailQM,"Quality metric that summarizes when the sensor error occurred over the averaging period, as a percent",real,percent,expanded
RHbuoy_1min,RHSensorErrorPassQM,"Quality metric that summarizes when the sensor error was not occurred  over the averaging period, as a percent",real,percent,expanded
RHbuoy_1min,RHSensorErrorNAQM,"Quality metric that summarizes when the sensor error was unknown over the averaging period, as a percent",real,percent,expanded
RHbuoy_30min,startDateTime,"Date and time at which a sampling is initiated",dateTime,NA,basic
RHbuoy_30min,endDateTime,"Date and time at which a sampling is completed",dateTime,NA,basic
RHbuoy_30min,RHMean,"Arithmetic mean of relative humidity",real,percent,basic
RHbuoy_30min,RHMinimum,"Minimum relative humidity",real,percent,basic
RHbuoy_30min,RHMaximum,"Maximum relative humidity",real,percent,basic
RHbuoy_30min,RHVariance,"Variance in relative humidity",real,percentSquared,basic
RHbuoy_30min,RHNumPts,"Number of points used to calculate the arithmetic mean of relative humidity",real,number,basic
RHbuoy_30min,RHExpUncert,"Expanded uncertainty for relative humidity",real,percent,basic
RHbuoy_30min,RHStdErMean,"Standard error of the mean for relative humidity",real,percent,basic
RHbuoy_30min,RHRangeFailQM,"Relative humidity quality metric that summarizes the failed outcomes of the range test over the averaging period, as a percent",real,percent,expanded
RHbuoy_30min,RHRangePassQM,"Relative humidity quality metric that summarizes the passed outcomes of the range test over the averaging period, as a percent",real,percent,expanded
RHbuoy_30min,RHRangeNAQM,"Relative humidity quality metric that summarizes when the range test could not be run over the averaging period, as a percent",real,percent,expanded
RHbuoy_30min,RHPersistenceFailQM,"Relative humidity quality metric that summarizes  the failed outcomes of the persistence test over the averaging period, as a percent",real,percent,expanded
RHbuoy_30min,RHPersistencePassQM,"Relative humidity quality metric that summarizes the passed outcomes of the persistence test over the averaging period, as a percent",real,percent,expanded
RHbuoy_30min,RHPersistenceNAQM,"Relative humidity quality metric that summarizes when the persistence test could not be run over the averaging period, as a percent",real,percent,expanded
RHbuoy_30min,RHStepFailQM,"Relative humidity quality metric that summarizes the failed outcomes of the step test over the averaging period, as a percent",real,percent,expanded
RHbuoy_30min,RHStepPassQM,"Relative humidity quality metric that summarizes the passed outcomes of the step test over the averaging period, as a percent",real,percent,expanded
RHbuoy_30min,RHStepNAQM,"Relative humidity quality metric that summarizes when the step test could not be run over the averaging period, as a percent",real,percent,expanded
RHbuoy_30min,RHNullFailQM,"Relative humidity quality metric that summarizes the failed outcomes of the null test over the averaging period, as a percent",real,percent,expanded
RHbuoy_30min,RHNullPassQM,"Relative humidity quality metric that summarizes the passed outcomes of the null test over the averaging period, as a percent",real,percent,expanded
RHbuoy_30min,RHNullNAQM,"Relative humidity quality metric that summarizes when the null test could not be run over the averaging period, as a percent",real,percent,expanded
RHbuoy_30min,RHGapFailQM,"Relative humidity quality metric that summarizes the failed outcomes of the gap test over the averaging period, as a percent",real,percent,expanded
RHbuoy_30min,RHGapPassQM,"Relative humidity quality metric that summarizes the passed outcomes of the gap test over the averaging period, as a percent",real,percent,expanded
RHbuoy_30min,RHGapNAQM,"Relative humidity quality metric that summarizes when the gap test could not be run over the averaging period, as a percent",real,percent,expanded
RHbuoy_30min,RHSpikeFailQM,"Relative humidity quality metric that summarizes the failed outcomes of the spike test over the averaging period, as a percent",real,percent,expanded
RHbuoy_30min,RHSpikePassQM,"Relative humidity quality metric that summarizes the passed outcomes of the spike test over the averaging period, as a percent",real,percent,expanded
RHbuoy_30min,RHSpikeNAQM,"Relative humidity quality metric that summarizes when the spike test could not be run over the averaging period, as a percent",real,percent,expanded
RHbuoy_30min,RHValidCalFailQM,"Relative humidity quality metric that summarizes the failed outcomes of the valid calibration check over the averaging period, as a percent",real,percent,expanded
RHbuoy_30min,RHValidCalPassQM,"Relative humidity quality metric that summarizes the passed outcomes of the valid calibration check over the averaging period, as a percent",real,percent,expanded
RHbuoy_30min,RHValidCalNAQM,"Relative humidity quality metric that summarizes when the valid calibration check could not be run over the averaging period, as a percent",real,percent,expanded
RHbuoy_30min,RHAlphaQM,"Relative humidity quality metric detailing the outcomes of the alpha quality flag over the averaging period, as a percent and detailed in NEON.DOC.001113",real,percent,expanded
RHbuoy_30min,RHBetaQM,"Relative humidity quality metric detailing the outcomes of the beta quality flag over the averaging period, as a percent and detailed in NEON.DOC.001113",real,percent,expanded
RHbuoy_30min,RHFinalQF,"Relative humidity quality flag indicating whether a data product has passed or failed an overall assessment of its quality, detailed in NEON.DOC.001113 (1=fail, 0=pass)",unsigned integer,NA,basic
RHbuoy_30min,RHFinalQFSciRvw,"Relative humidity quality flag indicating whether a data product has failed a science review of its quality, detailed in NEON.DOC.001113 (1=fail, 0=pass/not-reviewed)",unsigned integer,NA,expanded
RHbuoy_30min,tempRHMean,"Arithmetic mean of temperature measures by RH sensor",real,celsius,basic
RHbuoy_30min,tempRHMinimum,"Minimum temperature measures by RH sensor",real,celsius,basic
RHbuoy_30min,tempRHMaximum,"Maximum temperature measures by RH sensor",real,celsius,basic
RHbuoy_30min,tempRHVariance,"Variance in temperature measures by RH sensor",real,celsiusSquared,basic
RHbuoy_30min,tempRHNumPts,"Number of points used to calculate the arithmetic mean of temperature measures by RH sensor",real,number,basic
RHbuoy_30min,tempRHExpUncert,"Expanded uncertainty for temperature measures by RH sensor",real,celsius,basic
RHbuoy_30min,tempRHStdErMean,"Standard error of the mean for temperature measures by RH sensor",real,celsius,basic
RHbuoy_30min,tempRHRangeFailQM,"Temperature measures by RH sensor quality metric that summarizes the failed outcomes of the range test over the averaging period, as a percent",real,percent,expanded
RHbuoy_30min,tempRHRangePassQM,"Temperature measures by RH sensor quality metric that summarizes the passed outcomes of the range test over the averaging period, as a percent",real,percent,expanded
RHbuoy_30min,tempRHRangeNAQM,"Temperature measures by RH sensor quality metric that summarizes when the range test could not be run over the averaging period, as a percent",real,percent,expanded
RHbuoy_30min,tempRHPersistenceFailQM,"Temperature measures by RH sensor quality metric that summarizes  the failed outcomes of the persistence test over the averaging period, as a percent",real,percent,expanded
RHbuoy_30min,tempRHPersistencePassQM,"Temperature measures by RH sensor quality metric that summarizes the passed outcomes of the persistence test over the averaging period, as a percent",real,percent,expanded
RHbuoy_30min,tempRHPersistenceNAQM,"Temperature measures by RH sensor quality metric that summarizes when the persistence test could not be run over the averaging period, as a percent",real,percent,expanded
RHbuoy_30min,tempRHStepFailQM,"Temperature measures by RH sensor quality metric that summarizes the failed outcomes of the step test over the averaging period, as a percent",real,percent,expanded
RHbuoy_30min,tempRHStepPassQM,"Temperature measures by RH sensor quality metric that summarizes the passed outcomes of the step test over the averaging period, as a percent",real,percent,expanded
RHbuoy_30min,tempRHStepNAQM,"Temperature measures by RH sensor quality metric that summarizes when the step test could not be run over the averaging period, as a percent",real,percent,expanded
RHbuoy_30min,tempRHNullFailQM,"Temperature measures by RH sensor quality metric that summarizes the failed outcomes of the null test over the averaging period, as a percent",real,percent,expanded
RHbuoy_30min,tempRHNullPassQM,"Temperature measures by RH sensor quality metric that summarizes the passed outcomes of the null test over the averaging period, as a percent",real,percent,expanded
RHbuoy_30min,tempRHNullNAQM,"Temperature measures by RH sensor quality metric that summarizes when the null test could not be run over the averaging period, as a percent",real,percent,expanded
RHbuoy_30min,tempRHGapFailQM,"Temperature measures by RH sensor quality metric that summarizes the failed outcomes of the gap test over the averaging period, as a percent",real,percent,expanded
RHbuoy_30min,tempRHGapPassQM,"Temperature measures by RH sensor quality metric that summarizes the passed outcomes of the gap test over the averaging period, as a percent",real,percent,expanded
RHbuoy_30min,tempRHGapNAQM,"Temperature measures by RH sensor quality metric that summarizes when the gap test could not be run over the averaging period, as a percent",real,percent,expanded
RHbuoy_30min,tempRHSpikeFailQM,"Temperature measures by RH sensor quality metric that summarizes the failed outcomes of the spike test over the averaging period, as a percent",real,percent,expanded
RHbuoy_30min,tempRHSpikePassQM,"Temperature measures by RH sensor quality metric that summarizes the passed outcomes of the spike test over the averaging period, as a percent",real,percent,expanded
RHbuoy_30min,tempRHSpikeNAQM,"Temperature measures by RH sensor quality metric that summarizes when the spike test could not be run over the averaging period, as a percent",real,percent,expanded
RHbuoy_30min,tempRHValidCalFailQM,"Temperature measures by RH sensor quality metric that summarizes the failed outcomes of the valid calibration check over the averaging period, as a percent",real,percent,expanded
RHbuoy_30min,tempRHValidCalPassQM,"Temperature measures by RH sensor quality metric that summarizes the passed outcomes of the valid calibration check over the averaging period, as a percent",real,percent,expanded
RHbuoy_30min,tempRHValidCalNAQM,"Temperature measures by RH sensor quality metric that summarizes when the valid calibration check could not be run over the averaging period, as a percent",real,percent,expanded
RHbuoy_30min,tempRHAlphaQM,"Temperature measures by RH sensor quality metric detailing the outcomes of the alpha quality flag over the averaging period, as a percent and detailed in NEON.DOC.001113",real,percent,expanded
RHbuoy_30min,tempRHBetaQM,"Temperature measures by RH sensor quality metric detailing the outcomes of the beta quality flag over the averaging period, as a percent and detailed in NEON.DOC.001113",real,percent,expanded
RHbuoy_30min,tempRHFinalQF,"Temperature measures by RH sensor quality flag indicating whether a data product has passed or failed an overall assessment of its quality, detailed in NEON.DOC.001113 (1=fail, 0=pass)",unsigned integer,NA,basic
RHbuoy_30min,tempRHFinalQFSciRvw,"Temperature measures by RH sensor quality flag indicating whether a data product has failed a science review of its quality, detailed in NEON.DOC.001113 (1=fail, 0=pass/not-reviewed)",unsigned integer,NA,expanded
RHbuoy_30min,dewTempMean,"Arithmetic mean of dew or frost point temperature",real,celsius,basic
RHbuoy_30min,dewTempMinimum,"Minimum dew or frost point temperature",real,celsius,basic
RHbuoy_30min,dewTempMaximum,"Maximum dew or frost point temperature",real,celsius,basic
RHbuoy_30min,dewTempVariance,"Variance in dew or frost point temperature",real,celsiusSquared,basic
RHbuoy_30min,dewTempNumPts,"Number of points used to calculate the arithmetic mean of dew or frost point temperature",real,number,basic
RHbuoy_30min,dewTempExpUncert,"Expanded uncertainty for dew or frost point temperature",real,celsius,basic
RHbuoy_30min,dewTempStdErMean,"Standard error of the mean for dew or frost point temperature",real,celsius,basic
RHbuoy_30min,dewTempRangeFailQM,"Dew or frost point temperature quality metric that summarizes the failed outcomes of the range test over the averaging period, as a percent",real,percent,expanded
RHbuoy_30min,dewTempRangePassQM,"Dew or frost point temperature quality metric that summarizes the passed outcomes of the range test over the averaging period, as a percent",real,percent,expanded
RHbuoy_30min,dewTempRangeNAQM,"Dew or frost point temperature quality metric that summarizes when the range test could not be run over the averaging period, as a percent",real,percent,expanded
RHbuoy_30min,dewTempPersistenceFailQM,"Dew or frost point temperature quality metric that summarizes  the failed outcomes of the persistence test over the averaging period, as a percent",real,percent,expanded
RHbuoy_30min,dewTempPersistencePassQM,"Dew or frost point temperature quality metric that summarizes the passed outcomes of the persistence test over the averaging period, as a percent",real,percent,expanded
RHbuoy_30min,dewTempPersistenceNAQM,"Dew or frost point temperature quality metric that summarizes when the persistence test could not be run over the averaging period, as a percent",real,percent,expanded
RHbuoy_30min,dewTempStepFailQM,"Dew or frost point temperature quality metric that summarizes the failed outcomes of the step test over the averaging period, as a percent",real,percent,expanded
RHbuoy_30min,dewTempStepPassQM,"Dew or frost point temperature quality metric that summarizes the passed outcomes of the step test over the averaging period, as a percent",real,percent,expanded
RHbuoy_30min,dewTempStepNAQM,"Dew or frost point temperature quality metric that summarizes when the step test could not be run over the averaging period, as a percent",real,percent,expanded
RHbuoy_30min,dewTempNullFailQM,"Dew or frost point temperature quality metric that summarizes the failed outcomes of the null test over the averaging period, as a percent",real,percent,expanded
RHbuoy_30min,dewTempNullPassQM,"Dew or frost point temperature quality metric that summarizes the passed outcomes of the null test over the averaging period, as a percent",real,percent,expanded
RHbuoy_30min,dewTempNullNAQM,"Dew or frost point temperature quality metric that summarizes when the null test could not be run over the averaging period, as a percent",real,percent,expanded
RHbuoy_30min,dewTempGapFailQM,"Dew or frost point temperature quality metric that summarizes the failed outcomes of the gap test over the averaging period, as a percent",real,percent,expanded
RHbuoy_30min,dewTempGapPassQM,"Dew or frost point temperature quality metric that summarizes the passed outcomes of the gap test over the averaging period, as a percent",real,percent,expanded
RHbuoy_30min,dewTempGapNAQM,"Dew or frost point temperature quality metric that summarizes when the gap test could not be run over the averaging period, as a percent",real,percent,expanded
RHbuoy_30min,dewTempSpikeFailQM,"Dew or frost point temperature quality metric that summarizes the failed outcomes of the spike test over the averaging period, as a percent",real,percent,expanded
RHbuoy_30min,dewTempSpikePassQM,"Dew or frost point temperature quality metric that summarizes the passed outcomes of the spike test over the averaging period, as a percent",real,percent,expanded
RHbuoy_30min,dewTempSpikeNAQM,"Dew or frost point temperature quality metric that summarizes when the spike test could not be run over the averaging period, as a percent",real,percent,expanded
RHbuoy_30min,dewTempValidCalFailQM,"Dew or frost point temperature quality metric that summarizes the failed outcomes of the valid calibration check over the averaging period, as a percent",real,percent,expanded
RHbuoy_30min,dewTempValidCalPassQM,"Dew or frost point temperature quality metric that summarizes the passed outcomes of the valid calibration check over the averaging period, as a percent",real,percent,expanded
RHbuoy_30min,dewTempValidCalNAQM,"Dew or frost point temperature quality metric that summarizes when the valid calibration check could not be run over the averaging period, as a percent",real,percent,expanded
RHbuoy_30min,dewTempAlphaQM,"Dew or frost point temperature quality metric detailing the outcomes of the alpha quality flag over the averaging period, as a percent and detailed in NEON.DOC.001113",real,percent,expanded
RHbuoy_30min,dewTempBetaQM,"Dew or frost point temperature quality metric detailing the outcomes of the beta quality flag over the averaging period, as a percent and detailed in NEON.DOC.001113",real,percent,expanded
RHbuoy_30min,dewTempFinalQF,"Dew or frost point temperature quality flag indicating whether a data product has passed or failed an overall assessment of its quality, detailed in NEON.DOC.001113 (1=fail, 0=pass)",unsigned integer,NA,basic
RHbuoy_30min,dewTempFinalQFSciRvw,"Dew or frost point temperature quality flag indicating whether a data product has failed a science review of its quality, detailed in NEON.DOC.001113 (1=fail, 0=pass/not-reviewed)",unsigned integer,NA,expanded
RHbuoy_30min,RHSensorErrorFailQM,"Quality metric that summarizes when the sensor error occurred over the averaging period, as a percent",real,percent,expanded
RHbuoy_30min,RHSensorErrorPassQM,"Quality metric that summarizes when the sensor error was not occurred  over the averaging period, as a percent",real,percent,expanded
RHbuoy_30min,RHSensorErrorNAQM,"Quality metric that summarizes when the sensor error was unknown over the averaging period, as a percent",real,percent,expanded
