,LAI ,HEIGHTC
28-Apr-10,,
29-Apr-10,,
30-Apr-10,,
1-May-10,,
2-May-10,,
3-May-10,,
4-May-10,,
5-May-10,,
6-May-10,,
7-May-10,,
8-May-10,,
9-May-10,,
10-May-10,,
11-May-10,,
12-May-10,,
13-May-10,,
14-May-10,,
15-May-10,,
16-May-10,,
17-May-10,,
18-May-10,,
19-May-10,,
20-May-10,,
21-May-10,,
22-May-10,,
23-May-10,,
24-May-10,,
25-May-10,,
26-May-10,,
27-May-10,,
28-May-10,,
29-May-10,,
30-May-10,,
31-May-10,,
1-Jun-10,,
2-Jun-10,,
3-Jun-10,,
4-Jun-10,,
5-Jun-10,,
6-Jun-10,,
7-Jun-10,,
8-Jun-10,,
9-Jun-10,,
10-Jun-10,,
11-Jun-10,,
12-Jun-10,,
13-Jun-10,,
14-Jun-10,,
15-Jun-10,,
16-Jun-10,,
17-Jun-10,,
18-Jun-10,,
19-Jun-10,,
20-Jun-10,,
21-Jun-10,,
22-Jun-10,,
23-Jun-10,,
24-Jun-10,,
25-Jun-10,,
26-Jun-10,,
27-Jun-10,,
28-Jun-10,,
29-Jun-10,,
30-Jun-10,,
1-Jul-10,,
2-Jul-10,,
3-Jul-10,,
4-Jul-10,,
5-Jul-10,,
6-Jul-10,,
7-Jul-10,,
8-Jul-10,,
9-Jul-10,1.14,47
10-Jul-10,,
11-Jul-10,,
12-Jul-10,,
13-Jul-10,,
14-Jul-10,,
15-Jul-10,,
16-Jul-10,1.89,52.75
17-Jul-10,,
18-Jul-10,,
19-Jul-10,,
20-Jul-10,,
21-Jul-10,,
22-Jul-10,,
23-Jul-10,2.65,61.75
24-Jul-10,,
25-Jul-10,,
26-Jul-10,,
27-Jul-10,,
28-Jul-10,,
29-Jul-10,,
30-Jul-10,4.82,70.75
31-Jul-10,,
1-Aug-10,,
2-Aug-10,,
3-Aug-10,,
4-Aug-10,,
5-Aug-10,,
6-Aug-10,3.74,82.25
7-Aug-10,,
8-Aug-10,,
9-Aug-10,,
10-Aug-10,,
11-Aug-10,,
12-Aug-10,,
13-Aug-10,5.2,89.75
14-Aug-10,,
15-Aug-10,,
16-Aug-10,,
17-Aug-10,,
18-Aug-10,,
19-Aug-10,,
20-Aug-10,,
21-Aug-10,7.32,91.75
22-Aug-10,,
23-Aug-10,,
24-Aug-10,,
25-Aug-10,,
26-Aug-10,,
27-Aug-10,5.8,101.75
28-Aug-10,,
29-Aug-10,,
30-Aug-10,,
31-Aug-10,,
1-Sep-10,,
2-Sep-10,,
3-Sep-10,,
4-Sep-10,5.78,118.75
5-Sep-10,,
6-Sep-10,,
7-Sep-10,,
8-Sep-10,,
9-Sep-10,,
10-Sep-10,,
11-Sep-10,,
12-Sep-10,6.06,128.25
13-Sep-10,,
14-Sep-10,,
15-Sep-10,,
16-Sep-10,,
17-Sep-10,,
18-Sep-10,6.27,127
19-Sep-10,,
20-Sep-10,,
21-Sep-10,,
22-Sep-10,,
23-Sep-10,,
24-Sep-10,4.34,137.5
25-Sep-10,,
26-Sep-10,,
27-Sep-10,,
28-Sep-10,,
29-Sep-10,,
30-Sep-10,,
1-Oct-10,3.82,134.25
2-Oct-10,,
3-Oct-10,,
4-Oct-10,,
5-Oct-10,,
6-Oct-10,,
7-Oct-10,,
8-Oct-10,,
9-Oct-10,,
10-Oct-10,,
11-Oct-10,,
12-Oct-10,,
13-Oct-10,,
14-Oct-10,,
15-Oct-10,,
16-Oct-10,,
17-Oct-10,,
18-Oct-10,,
19-Oct-10,,
20-Oct-10,,
21-Oct-10,,
22-Oct-10,,
23-Oct-10,,
24-Oct-10,,
25-Oct-10,,
26-Oct-10,,
27-Oct-10,,
28-Oct-10,,
29-Oct-10,,
30-Oct-10,,
31-Oct-10,,
1-Nov-10,,
2-Nov-10,,
3-Nov-10,,
4-Nov-10,,
5-Nov-10,,
6-Nov-10,,
7-Nov-10,,
8-Nov-10,,
9-Nov-10,,
10-Nov-10,,
11-Nov-10,,
12-Nov-10,,
13-Nov-10,,
14-Nov-10,,
15-Nov-10,,
16-Nov-10,,
17-Nov-10,,
18-Nov-10,,
19-Nov-10,,
20-Nov-10,,
21-Nov-10,,
22-Nov-10,,
23-Nov-10,,
24-Nov-10,,
25-Nov-10,,
26-Nov-10,,
27-Nov-10,,
28-Nov-10,,
29-Nov-10,,
30-Nov-10,,
1-Dec-10,,
2-Dec-10,,
3-Dec-10,,
4-Dec-10,,
5-Dec-10,,
6-Dec-10,,
7-Dec-10,,
8-Dec-10,,
9-Dec-10,,
10-Dec-10,,
11-Dec-10,,
12-Dec-10,,
13-Dec-10,,
14-Dec-10,,
15-Dec-10,,
16-Dec-10,,
17-Dec-10,,
18-Dec-10,,
19-Dec-10,,
20-Dec-10,,
21-Dec-10,,
22-Dec-10,,
23-Dec-10,,
24-Dec-10,,
25-Dec-10,,
26-Dec-10,,
27-Dec-10,,
28-Dec-10,,
29-Dec-10,,
30-Dec-10,,
31-Dec-10,,
